obsID obs_collection dataproduct_type obs_id description type dataURI productType productGroupDescription productSubGroupDescription productDocumentationURL project prvversion proposal_id productFilename size parent_obsid dataRights calib_level filters
23928519 HST image ic9t50e2q "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic9t50e2q_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13335 ic9t50e2q_drz.fits 13587840 23928519 PUBLIC 3 F814W
23928520 HST image ic9t50e3q "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ic9t50e3q_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13335 ic9t50e3q_drz.fits 13587840 23928520 PUBLIC 3 F814W
23953928 HST image iciu15k0q "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/iciu15k0q_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13686 iciu15k0q_drz.fits 217252800 23953928 PUBLIC 3 F606W
23953929 HST image iciu15k2q "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/iciu15k2q_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13686 iciu15k2q_drz.fits 217347840 23953929 PUBLIC 3 F621M
23953930 HST image iciu15k4q "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/iciu15k4q_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13686 iciu15k4q_drz.fits 217304640 23953930 PUBLIC 3 F621M
23953931 HST image iciu15k6q "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/iciu15k6q_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13686 iciu15k6q_drz.fits 217252800 23953931 PUBLIC 3 F606W
23953934 HST image iciu15kaq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/iciu15kaq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13686 iciu15kaq_drz.fits 3504960 23953934 PUBLIC 3 F814W
23953935 HST image iciu15kbq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/iciu15kbq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 13686 iciu15kbq_drz.fits 3504960 23953935 PUBLIC 3 F555W
23984326 HST image j8hoskcwq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/j8hoskcwq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALACS "" 9480 j8hoskcwq_drz.fits 214344000 23984326 PUBLIC 3 F775W
23984326 HST image j8hoskcwq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/j8hoskcwq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALACS "" 9480 j8hoskcwq_drz.fits 214344000 26338261 PUBLIC 3 F775W
23984327 HST image j8hoskcxq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/j8hoskcxq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALACS "" 9480 j8hoskcxq_drz.fits 214344000 23984327 PUBLIC 3 F775W
23984327 HST image j8hoskcxq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/j8hoskcxq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALACS "" 9480 j8hoskcxq_drz.fits 214344000 26338261 PUBLIC 3 F775W
23984328 HST image j8hoskczq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/j8hoskczq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALACS "" 9480 j8hoskczq_drz.fits 214344000 23984328 PUBLIC 3 F775W
23984328 HST image j8hoskczq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/j8hoskczq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALACS "" 9480 j8hoskczq_drz.fits 214344000 26338261 PUBLIC 3 F775W
23984329 HST image j8hoskd1q "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/j8hoskd1q_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALACS "" 9480 j8hoskd1q_drz.fits 214344000 23984329 PUBLIC 3 F775W
23984329 HST image j8hoskd1q "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/j8hoskd1q_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALACS "" 9480 j8hoskd1q_drz.fits 214344000 26338261 PUBLIC 3 F775W
24804143 HST image ibp701010 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibp701010_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12518 ibp701010_drz.fits 217460160 24804143 PUBLIC 3 F555W
24804143 HST image ibp701010 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibp701010_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12518 ibp701010_drz.fits 217460160 26553750 PUBLIC 3 F555W
24804144 HST image ibp701020 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibp701020_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12518 ibp701020_drz.fits 217512000 24804144 PUBLIC 3 F814W
24804144 HST image ibp701020 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibp701020_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12518 ibp701020_drz.fits 217512000 26553739 PUBLIC 3 F814W
24804145 HST image ibp701040 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibp701040_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12518 ibp701040_drz.fits 217356480 24804145 PUBLIC 3 F200LP
24804145 HST image ibp701040 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibp701040_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12518 ibp701040_drz.fits 217356480 26553753 PUBLIC 3 F200LP
24804146 HST image ibp701050 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ibp701050_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 12518 ibp701050_drz.fits 217512000 24804146 PUBLIC 3 F350LP
